Date,Close/Last,Volume,Open,High,Low
04/12/2023,2328.50,1205,2311.00,2335.00,2293.50
04/11/2023,2306.75,1979,2333.75,2335.50,2302.50
04/10/2023,2348.00,2215,2348.00,2348.00,2348.00
04/06/2023,2338.25,1373,2355.00,2359.50,2329.25
04/05/2023,2370.00,N/A,2370.00,2370.00,2370.00
04/04/2023,2370.00,N/A,2370.00,2370.00,2370.00
04/03/2023,2395.50,1647,2409.00,2430.00,2384.50
03/31/2023,2407.50,1538,2382.50,2423.50,2375.75
03/30/2023,2387.25,1002,2375.00,2397.75,2373.50
03/29/2023,2380.25,800,2381.00,2415.50,2368.25
03/28/2023,2392.00,1712,2368.00,2396.50,2355.75
03/27/2023,2366.25,2567,2341.50,2370.50,2329.00
03/24/2023,2333.00,1133,2339.75,2341.50,2303.75
03/23/2023,2322.50,2097,2306.75,2339.75,2298.75
03/22/2023,2289.25,2116,2267.50,2296.00,2258.00
03/21/2023,2260.75,426,2273.50,2279.00,2263.00
03/20/2023,2258.00,451,2235.50,2303.50,2235.50
03/17/2023,2245.50,210,2295.00,2295.00,2245.75
03/16/2023,2253.00,271,2268.00,2292.50,2252.25
03/15/2023,2269.00,268,2332.50,2366.00,2268.75
03/14/2023,2342.75,1462,2322.75,2345.50,2296.50
03/13/2023,2324.75,1965,2328.00,2347.25,2285.00
03/10/2023,2319.00,732,2328.50,2328.50,2290.50
03/09/2023,2333.25,1627,2351.75,2351.75,2327.50
03/08/2023,2358.25,1643,2364.50,2372.50,2326.00
03/07/2023,2355.50,2733,2364.50,2369.25,2351.75
03/06/2023,2391.00,2385,2390.00,2398.00,2352.75
03/03/2023,2399.75,1145,2395.50,2417.00,2389.00
03/02/2023,2397.50,2449,2418.00,2442.00,2383.00
03/01/2023,2413.00,2938,2350.00,2433.00,2350.00
02/28/2023,2366.25,269,2360.75,2366.75,2333.00
02/26/2023,2340.50,N/A,2340.50,2340.50,2340.50
02/24/2023,2335.75,306,2377.50,2377.50,2321.50
02/23/2023,2363.75,130,2389.00,2389.00,2354.00
02/22/2023,2388.75,102,2411.00,2411.00,2385.00
02/21/2023,2440.00,383,2390.00,2448.00,2390.00
02/17/2023,2366.00,176,2359.00,2376.25,2355.50
02/16/2023,2381.75,240,2392.25,2398.50,2368.00
02/15/2023,2378.25,337,2400.00,2403.25,2388.50
02/14/2023,2403.00,845,2436.50,2438.25,2400.50
02/13/2023,2416.25,2753,2466.50,2466.50,2414.50
02/10/2023,2455.75,1316,2485.00,2506.75,2438.00
02/09/2023,2513.75,901,2495.00,2525.50,2477.50
02/08/2023,2494.25,991,2540.25,2563.50,2486.00
02/07/2023,2545.00,1735,2569.00,2569.25,2520.25
02/06/2023,2543.25,2000,2587.25,2591.50,2516.25
02/03/2023,2579.00,1122,2622.75,2624.50,2573.50
02/02/2023,2634.25,2951,2651.75,2662.75,2603.75
02/01/2023,2633.00,3653,2649.50,2650.75,2610.50
01/31/2023,2660.00,1036,2595.50,2664.00,2578.25
01/30/2023,2614.50,848,2636.75,2653.25,2582.00
01/27/2023,2657.00,1462,2674.50,2686.25,2641.50
01/26/2023,2680.00,N/A,2680.00,2680.00,2680.00
01/25/2023,2680.00,N/A,2680.00,2680.00,2680.00
01/24/2023,2682.00,1483,2665.00,2691.00,2655.75
01/23/2023,2671.25,1005,2629.50,2675.75,2628.50
01/20/2023,2625.50,N/A,2625.50,2625.50,2625.50
01/19/2023,2625.50,N/A,2625.50,2625.50,2625.50
01/18/2023,2667.25,241,2667.00,2706.50,2613.00
01/17/2023,2651.00,605,2631.50,2655.00,2618.00
01/13/2023,2621.50,1394,2592.50,2649.00,2565.75
01/12/2023,2572.25,1347,2510.25,2577.75,2480.50
01/11/2023,2528.00,1354,2479.50,2528.75,2476.25
