"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2023","119.11","119.11","119.11","119.11","","-0.68%"
"04/13/2023","119.92","119.92","119.92","119.92","","-0.48%"
"04/12/2023","120.50","120.50","120.50","120.50","","-0.45%"
"04/11/2023","121.05","121.05","121.05","121.05","","1.09%"
"04/10/2023","119.75","119.75","119.75","119.75","","0.50%"
"04/06/2023","119.16","119.16","119.16","119.16","","-0.43%"
"04/05/2023","119.67","119.67","119.67","119.67","","-0.47%"
"04/04/2023","120.24","120.24","120.24","120.24","","-1.60%"
"04/03/2023","122.19","122.19","122.19","122.19","0.03K","-3.83%"
"03/31/2023","127.06","127.06","127.06","127.06","","0.83%"
"03/30/2023","126.01","126.01","126.01","126.01","","0.00%"
"03/29/2023","126.01","126.01","126.01","126.01","","0.00%"
"03/28/2023","126.01","126.01","126.01","126.01","","0.00%"
"03/27/2023","126.01","126.01","126.01","126.01","","0.00%"
"03/24/2023","126.01","126.01","126.01","126.01","","-0.51%"
"03/23/2023","126.66","126.66","126.66","126.66","","-0.84%"
"03/22/2023","127.73","127.73","127.73","127.73","","-0.22%"
"03/21/2023","128.01","128.01","128.01","128.01","","-0.19%"
"03/20/2023","128.26","128.26","128.26","128.26","","-1.34%"
"03/17/2023","130.00","130.00","130.00","130.00","","0.85%"
"03/16/2023","128.91","128.91","128.91","128.91","","-0.91%"
"03/15/2023","130.09","130.09","130.09","130.09","","0.04%"
"03/14/2023","130.04","130.04","130.04","130.04","","-0.34%"
"03/13/2023","130.49","130.49","130.49","130.49","","0.81%"
"03/10/2023","129.44","129.44","129.44","129.44","","-0.03%"
"03/09/2023","129.48","129.48","129.48","129.48","","1.66%"
"03/08/2023","127.37","127.37","127.37","127.37","","0.03%"
"03/07/2023","127.33","127.33","127.33","127.33","","1.46%"
"03/06/2023","125.50","125.50","125.50","125.50","","-0.90%"
"03/03/2023","126.64","126.64","126.64","126.64","","-0.30%"
"03/02/2023","127.02","127.02","127.02","127.02","0.05K","0.17%"
"03/01/2023","126.80","126.80","126.80","126.80","","0.83%"
"02/28/2023","125.75","125.75","125.75","125.75","","0.01%"
"02/27/2023","125.74","125.74","125.74","125.74","","-0.09%"
"02/24/2023","125.85","125.85","125.85","125.85","","-0.06%"
"02/23/2023","125.92","125.92","125.92","125.92","","0.12%"
"02/22/2023","125.77","125.77","125.77","125.77","","-0.45%"
"02/21/2023","126.34","126.34","126.34","126.34","","1.12%"
"02/17/2023","124.94","124.94","124.94","124.94","","0.20%"
"02/16/2023","124.69","124.69","124.69","124.69","","0.28%"
"02/15/2023","124.34","124.34","124.34","124.34","","0.11%"
"02/14/2023","124.20","124.20","124.20","124.20","","0.36%"
"02/13/2023","123.76","123.76","123.76","123.76","","-1.10%"
"02/10/2023","125.14","125.14","125.14","125.14","","0.39%"
"02/09/2023","124.65","124.65","124.65","124.65","","1.17%"
"02/08/2023","123.21","123.21","123.21","123.21","","0.37%"
"02/07/2023","122.75","122.75","122.75","122.75","","-1.28%"
"02/06/2023","124.34","124.34","124.34","124.34","0.10K","-0.73%"
"02/03/2023","125.26","125.26","125.26","125.26","","1.06%"
"02/02/2023","123.95","123.95","123.95","123.95","","-1.88%"
"02/01/2023","126.33","126.33","126.33","126.33","","2.40%"
"01/31/2023","123.37","123.37","123.37","123.37","","0.24%"
"01/30/2023","123.08","123.08","123.08","123.08","","0.31%"
"01/27/2023","122.70","122.70","122.70","122.70","","0.17%"
"01/26/2023","122.49","122.49","122.49","122.49","","0.46%"
"01/25/2023","121.93","121.93","121.93","121.93","","-0.03%"
"01/24/2023","121.97","121.97","121.97","121.97","","0.02%"
"01/23/2023","121.94","121.94","121.94","121.94","","-0.18%"
"01/20/2023","122.16","122.16","122.16","122.16","","0.30%"
"01/19/2023","121.79","121.79","121.79","121.79","","0.50%"
"01/18/2023","121.19","121.19","121.19","121.19","","0.20%"
"01/17/2023","120.95","120.95","120.95","120.95","","-1.13%"
"01/13/2023","122.33","122.33","122.33","122.33","","0.88%"
"01/12/2023","121.26","121.26","121.26","121.26","","0.20%"
"01/11/2023","121.02","121.02","121.02","121.02","","1.14%"
