Date,Open,High,Low,Close,Adj Close,Volume
2018-04-13,4.570000,4.570000,4.478000,4.509000,4.058876,15222751
2018-04-16,4.521000,4.553000,4.497000,4.513000,4.062477,8805004
2018-04-17,4.556000,4.777000,4.535000,4.746000,4.272216,29225486
2018-04-18,4.770000,4.773000,4.723000,4.751000,4.276718,9429301
2018-04-19,4.757000,4.789000,4.717000,4.748000,4.274018,13378873
2018-04-20,4.904000,4.983000,4.851000,4.863000,4.377537,31177442
2018-04-23,4.872000,4.900000,4.811000,4.844000,4.360434,14590590
2018-04-24,4.856000,4.899000,4.834000,4.870000,4.383838,17420867
2018-04-25,4.890000,4.960000,4.847000,4.944000,4.450451,35670026
2018-04-26,4.720000,4.939000,4.505000,4.901000,4.411744,59358186
2018-04-27,4.878000,5.016000,4.838000,4.948000,4.454052,26340441
2018-04-30,4.943000,5.016000,4.901000,4.978000,4.481057,26830316
2018-05-02,5.010000,5.010000,4.818000,4.841000,4.357733,37558404
2018-05-03,4.863000,4.936000,4.850000,4.857000,4.372136,20019414
2018-05-04,4.891000,5.088000,4.890000,5.088000,4.580076,32564895
2018-05-07,5.082000,5.240000,5.082000,5.230000,4.707901,26294050
2018-05-08,5.234000,5.288000,5.184000,5.284000,4.756509,22779111
2018-05-09,5.270000,5.364000,5.262000,5.300000,4.770912,17198826
2018-05-11,5.350000,5.388000,5.308000,5.346000,4.812320,16792391
2018-05-14,5.240000,5.316000,5.136000,5.292000,4.763710,21757400
2018-05-15,5.280000,5.286000,5.224000,5.264000,4.738505,15256424
2018-05-16,5.264000,5.298000,5.218000,5.262000,4.736706,13719467
2018-05-17,5.266000,5.288000,5.224000,5.268000,4.742107,13734871
2018-05-18,5.258000,5.338000,5.230000,5.280000,4.752909,19938431
2018-05-21,5.290000,5.324000,5.282000,5.294000,4.765511,6959857
2018-05-22,5.294000,5.294000,5.182000,5.272000,4.745708,16663466
2018-05-23,5.260000,5.260000,5.122000,5.172000,4.655690,17109141
2018-05-24,5.172000,5.240000,5.160000,5.176000,4.659290,12610872
2018-05-25,5.200000,5.228000,5.120000,5.176000,4.659290,15144874
2018-05-28,5.230000,5.258000,5.124000,5.138000,4.625084,11597609
2018-05-29,5.060000,5.108000,4.975000,5.074000,4.567473,24110957
2018-05-30,5.092000,5.112000,5.038000,5.090000,4.581877,17610769
2018-05-31,4.925000,5.020000,4.906000,4.940000,4.619279,49630370
2018-06-01,4.950000,5.008000,4.935000,4.987000,4.663228,19700856
2018-06-04,5.014000,5.068000,5.014000,5.068000,4.738969,12627977
2018-06-05,5.074000,5.086000,5.034000,5.034000,4.707177,13961166
2018-06-06,5.020000,5.020000,4.938000,4.967000,4.644526,18773484
2018-06-07,4.986000,5.004000,4.927000,4.957000,4.635176,12728100
2018-06-08,4.945000,4.982000,4.920000,4.931000,4.610864,11722670
2018-06-11,4.940000,4.972000,4.923000,4.972000,4.649202,13501192
2018-06-12,4.973000,5.030000,4.972000,5.010000,4.684734,13836348
2018-06-13,5.030000,5.146000,5.026000,5.146000,4.811905,20010495
2018-06-14,5.102000,5.242000,5.102000,5.238000,4.897932,19637460
2018-06-15,5.258000,5.308000,5.210000,5.222000,4.882971,26870327
2018-06-18,5.222000,5.224000,5.120000,5.150000,4.815646,11854461
2018-06-19,5.130000,5.164000,5.074000,5.112000,4.780112,19176654
2018-06-20,5.070000,5.128000,5.070000,5.116000,4.783853,13403694
2018-06-21,5.130000,5.152000,5.036000,5.070000,4.740839,14498302
2018-06-25,5.104000,5.104000,4.933000,4.947000,4.625824,15536023
2018-06-26,4.983000,4.997000,4.937000,4.974000,4.651072,12684148
2018-06-27,4.975000,5.036000,4.894000,4.986000,4.662292,11911252
2018-06-28,4.919000,4.957000,4.843000,4.874000,4.557565,16194734
2018-06-29,4.908000,4.968000,4.898000,4.930000,4.609928,19944285
2018-07-02,4.889000,4.898000,4.811000,4.846000,4.531383,15133911
2018-07-03,4.848000,4.908000,4.833000,4.868000,4.551954,14837785
2018-07-04,4.865000,4.867000,4.791000,4.818000,4.505200,9568430
2018-07-05,4.817000,4.862000,4.791000,4.850000,4.535122,13893840
2018-07-06,4.866000,4.915000,4.860000,4.899000,4.580941,11552293
2018-07-09,4.920000,4.963000,4.911000,4.956000,4.634240,11874002
2018-07-10,4.975000,5.074000,4.936000,5.054000,4.725878,16712544
2018-07-11,5.000000,5.030000,4.963000,4.980000,4.656682,13602672
2018-07-12,4.995000,5.032000,4.927000,5.026000,4.699696,9625139
2018-07-13,5.040000,5.074000,4.987000,5.000000,4.675384,10254812
2018-07-16,4.970000,5.012000,4.942000,5.004000,4.679124,8235283
2018-07-17,4.981000,4.992000,4.924000,4.970000,4.647331,12581332
2018-07-18,5.050000,5.260000,5.042000,5.162000,4.826866,26979799
2018-07-19,5.160000,5.222000,5.106000,5.132000,4.798813,13099008
2018-07-20,5.110000,5.182000,5.076000,5.112000,4.780112,13246648
2018-07-23,5.116000,5.130000,5.048000,5.068000,4.738969,10066403
2018-07-24,5.096000,5.110000,5.046000,5.072000,4.742709,13460145
2018-07-25,5.038000,5.086000,5.022000,5.066000,4.737099,13856939
2018-07-26,4.800000,4.848000,4.582000,4.824000,4.510810,60017906
2018-07-27,4.750000,4.782000,4.675000,4.700000,4.394860,31917318
2018-07-30,4.660000,4.816000,4.625000,4.732000,4.424783,22929174
2018-07-31,4.731000,4.732000,4.640000,4.646000,4.344367,27539673
2018-08-01,4.653000,4.694000,4.643000,4.680000,4.376159,15622272
2018-08-02,4.671000,4.671000,4.584000,4.610000,4.310704,18527408
2018-08-03,4.614000,4.661000,4.596000,4.623000,4.322860,13195370
2018-08-06,4.632000,4.674000,4.622000,4.627000,4.326600,10696469
2018-08-07,4.622000,4.688000,4.622000,4.649000,4.347172,11086292
2018-08-08,4.678000,4.713000,4.653000,4.674000,4.370549,10984140
2018-08-09,4.672000,4.680000,4.652000,4.668000,4.364939,7391620
2018-08-10,4.650000,4.660000,4.564000,4.578000,4.280781,15709493
2018-08-13,4.561000,4.585000,4.541000,4.560000,4.263950,8765017
2018-08-14,4.554000,4.595000,4.554000,4.571000,4.274236,8176336
2018-08-15,4.564000,4.613000,4.492000,4.496000,4.204105,13123599
2018-08-16,4.530000,4.583000,4.522000,4.558000,4.262081,9828317
2018-08-17,4.561000,4.615000,4.560000,4.581000,4.283586,12328043
2018-08-20,4.600000,4.632000,4.580000,4.609000,4.309769,9127862
2018-08-21,4.609000,4.654000,4.594000,4.633000,4.332211,9670610
2018-08-22,4.637000,4.705000,4.630000,4.689000,4.384575,10112879
2018-08-23,4.700000,4.765000,4.689000,4.736000,4.428524,13504385
2018-08-24,4.736000,4.819000,4.736000,4.801000,4.489304,14199822
2018-08-27,4.835000,4.890000,4.820000,4.883000,4.565979,10404433
2018-08-28,4.890000,4.947000,4.858000,4.920000,4.600577,17681554
2018-08-29,4.945000,4.945000,4.867000,4.890000,4.572525,12404362
2018-08-30,4.880000,4.880000,4.811000,4.836000,4.522031,13966593
2018-08-31,4.812000,4.913000,4.792000,4.798000,4.486499,13500658
2018-09-03,4.800000,4.849000,4.752000,4.803000,4.491173,7701838
2018-09-04,4.810000,4.859000,4.732000,4.768000,4.458447,14676364
2018-09-05,4.767000,4.768000,4.622000,4.627000,4.326600,20529616
2018-09-06,4.660000,4.706000,4.646000,4.653000,4.350912,13052260
2018-09-07,4.666000,4.669000,4.603000,4.650000,4.348107,11940880
2018-09-10,4.642000,4.711000,4.614000,4.662000,4.359328,11954624
2018-09-11,4.653000,4.675000,4.589000,4.632000,4.331275,10056114
2018-09-12,4.630000,4.640000,4.538000,4.581000,4.283586,15099836
2018-09-13,4.580000,4.771000,4.573000,4.693000,4.388315,19290949
2018-09-14,4.730000,4.756000,4.672000,4.733000,4.425718,11644423
2018-09-17,4.722000,4.743000,4.693000,4.730000,4.422914,9825940
2018-09-18,4.730000,4.847000,4.730000,4.827000,4.513616,18919428
2018-09-19,4.865000,4.868000,4.591000,4.673000,4.369614,35666042
2018-09-20,4.723000,4.747000,4.657000,4.678000,4.374290,20204788
2018-09-21,4.711000,4.789000,4.683000,4.751000,4.442550,32614164
2018-09-24,4.713000,4.768000,4.688000,4.707000,4.401406,13256459
2018-09-25,4.704000,4.757000,4.677000,4.734000,4.426654,17121191
2018-09-26,4.759000,4.759000,4.711000,4.731000,4.423848,14230236
2018-09-27,4.727000,4.860000,4.669000,4.845000,4.530447,19761915
2018-09-28,4.860000,4.876000,4.774000,4.777000,4.466862,17439492
2018-10-01,4.800000,4.850000,4.785000,4.816000,4.503329,14864421
2018-10-02,4.800000,4.806000,4.723000,4.745000,4.436940,17114177
2018-10-03,4.752000,4.802000,4.709000,4.731000,4.423848,11097980
2018-10-04,4.725000,4.799000,4.685000,4.768000,4.458447,15429324
2018-10-05,4.732000,4.787000,4.656000,4.669000,4.365873,15988545
2018-10-08,4.650000,4.661000,4.612000,4.626000,4.325665,13838022
2018-10-09,4.629000,4.663000,4.574000,4.635000,4.334081,12606479
2018-10-10,4.622000,4.630000,4.487000,4.500000,4.207845,19256095
2018-10-11,4.404000,4.520000,4.382000,4.441000,4.152676,26626360
2018-10-12,4.499000,4.546000,4.461000,4.500000,4.207845,21067902
2018-10-15,4.520000,4.559000,4.473000,4.542000,4.247119,15839134
2018-10-16,4.571000,4.690000,4.567000,4.681000,4.377095,21882568
2018-10-17,4.720000,4.766000,4.685000,4.715000,4.408888,17440381
2018-10-18,4.825000,4.920000,4.761000,4.850000,4.535122,30251703
2018-10-19,4.859000,4.910000,4.751000,4.864000,4.548213,24027889
2018-10-22,4.900000,4.938000,4.836000,4.864000,4.548213,17006859
2018-10-23,4.799000,4.855000,4.733000,4.784000,4.473408,19016888
2018-10-24,4.780000,4.813000,4.650000,4.683000,4.378965,20109412
2018-10-25,4.612000,4.750000,4.531000,4.700000,4.394860,33033848
2018-10-26,4.715000,4.917000,4.690000,4.861000,4.545409,39987254
2018-10-29,4.915000,4.962000,4.858000,4.912000,4.593097,18874092
