Date,Price,"Open","High","Low","Vol.","Change %"
"04/14/2023","0.03275","0.03282","0.03292","0.03268","","-0.19%"
"04/13/2023","0.03281","0.03276","0.03288","0.03270","","0.18%"
"04/12/2023","0.03275","0.03276","0.03287","0.03268","","0.02%"
"04/11/2023","0.03275","0.03278","0.03286","0.03270","","-0.09%"
"04/10/2023","0.03278","0.03289","0.03292","0.03274","","-0.28%"
"04/07/2023","0.03287","0.03274","0.03294","0.03269","","0.43%"
"04/06/2023","0.03273","0.03271","0.03283","0.03262","","0.10%"
"04/05/2023","0.03269","0.03282","0.03294","0.03269","","-0.34%"
"04/04/2023","0.03281","0.03276","0.03288","0.03267","","0.09%"
"04/03/2023","0.03278","0.03274","0.03285","0.03259","","0.12%"
"03/31/2023","0.03274","0.03282","0.03291","0.03269","","-0.05%"
"03/30/2023","0.03275","0.03279","0.03286","0.03269","","-0.05%"
"03/29/2023","0.03277","0.03293","0.03299","0.03274","","-0.45%"
"03/28/2023","0.03292","0.03295","0.03304","0.03285","","-0.04%"
"03/27/2023","0.03293","0.03296","0.03300","0.03285","","-0.08%"
"03/24/2023","0.03296","0.03297","0.03303","0.03281","","0.02%"
"03/23/2023","0.03295","0.03290","0.03303","0.03287","","0.32%"
"03/22/2023","0.03285","0.03281","0.03317","0.03272","","0.24%"
"03/21/2023","0.03277","0.03278","0.03284","0.03267","","-0.04%"
"03/20/2023","0.03278","0.03264","0.03285","0.03263","","0.46%"
"03/17/2023","0.03263","0.03274","0.03278","0.03261","","-0.29%"
"03/16/2023","0.03272","0.03267","0.03278","0.03257","","0.21%"
"03/15/2023","0.03266","0.03278","0.03291","0.03248","","-0.32%"
"03/14/2023","0.03276","0.03284","0.03287","0.03263","","-0.25%"
"03/13/2023","0.03284","0.03257","0.03286","0.03242","","1.62%"
"03/10/2023","0.03232","0.03241","0.03264","0.03233","","-0.23%"
"03/09/2023","0.03239","0.03250","0.03257","0.03238","","-0.34%"
"03/08/2023","0.03251","0.03248","0.03259","0.03236","","0.13%"
"03/07/2023","0.03246","0.03260","0.03273","0.03245","","-0.44%"
"03/06/2023","0.03261","0.03277","0.03281","0.03260","","-0.45%"
"03/03/2023","0.03276","0.03261","0.03281","0.03253","","0.47%"
"03/02/2023","0.03260","0.03271","0.03280","0.03254","","-0.28%"
"03/01/2023","0.03270","0.03255","0.03286","0.03251","","0.53%"
"02/28/2023","0.03253","0.03259","0.03268","0.03245","","-0.17%"
"02/27/2023","0.03258","0.03262","0.03268","0.03248","","0.02%"
"02/24/2023","0.03258","0.03290","0.03298","0.03257","","-0.98%"
"02/23/2023","0.03290","0.03274","0.03302","0.03272","","0.57%"
"02/22/2023","0.03271","0.03275","0.03285","0.03268","","-0.07%"
"02/21/2023","0.03274","0.03291","0.03301","0.03271","","-0.50%"
"02/20/2023","0.03290","0.03291","0.03298","0.03282","","0.09%"
"02/17/2023","0.03287","0.03295","0.03302","0.03280","","-0.17%"
"02/16/2023","0.03293","0.03294","0.03313","0.03285","","0.00%"
"02/15/2023","0.03292","0.03303","0.03308","0.03286","","-0.28%"
"02/14/2023","0.03301","0.03307","0.03322","0.03297","","-0.21%"
"02/13/2023","0.03308","0.03310","0.03318","0.03300","","-0.05%"
"02/10/2023","0.03310","0.03320","0.03328","0.03310","","-0.25%"
