Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,9.040000,9.050000,9.040000,9.060000,9.060000,308
2018-04-17,9.060000,9.060000,9.060000,9.140000,9.140000,131
2018-04-18,9.390000,9.440000,9.390000,9.440000,9.440000,1375
2018-04-19,9.480000,9.480000,9.390000,9.350000,9.350000,729
2018-04-20,9.380000,9.380000,9.380000,9.380000,9.380000,53
2018-04-23,9.420000,9.420000,9.420000,9.360000,9.360000,49
2018-04-24,9.380000,9.400000,9.380000,9.300000,9.300000,775
2018-04-25,9.210000,9.210000,9.150000,9.070000,9.070000,10039
2018-04-26,8.980000,8.980000,8.980000,9.070000,9.070000,55
2018-04-27,9.050000,9.110000,9.050000,9.030000,9.030000,3661
2018-04-30,9.040000,9.040000,9.040000,9.040000,9.040000,0
2018-05-01,8.970000,8.970000,8.860000,8.840000,8.840000,1300
2018-05-02,8.890000,8.890000,8.840000,8.840000,8.840000,6880
2018-05-03,8.880000,8.880000,8.870000,8.700000,8.700000,5880
2018-05-04,8.620000,8.810000,8.610000,8.830000,8.830000,23857
2018-05-08,8.920000,8.950000,8.850000,8.840000,8.840000,2055
2018-05-09,8.910000,8.950000,8.900000,8.890000,8.890000,45633
2018-05-10,8.920000,8.930000,8.920000,8.930000,8.930000,3161
2018-05-11,8.928750,8.928750,8.928750,8.928750,8.928750,0
2018-05-14,8.830000,8.830000,8.830000,8.830000,8.830000,1603
2018-05-15,8.890000,8.890000,8.840000,8.850000,8.850000,25
2018-05-16,8.900000,8.900000,8.900000,8.900000,8.900000,38711
2018-05-17,8.930000,8.930000,8.930000,8.960000,8.960000,2500
2018-05-18,8.930000,8.950000,8.930000,8.960000,8.960000,12733
2018-05-21,8.985000,8.985000,8.985000,8.985000,8.985000,0
2018-05-22,8.985000,8.985000,8.985000,8.985000,8.985000,0
2018-05-23,8.710000,8.730000,8.710000,8.750000,8.750000,12733
2018-05-24,8.740000,8.740000,8.740000,8.770000,8.770000,180
2018-05-25,8.832500,8.832500,8.832500,8.832500,8.832500,0
2018-05-29,8.930000,8.930000,8.930000,8.930000,8.930000,195
2018-05-30,8.860000,9.060000,8.860000,9.060000,9.060000,2901
2018-05-31,9.100000,9.100000,8.960000,8.960000,8.960000,8750
2018-06-01,8.950000,8.950000,8.910000,8.950000,8.950000,2339
2018-06-04,8.890000,8.970000,8.890000,9.030000,9.030000,45139
2018-06-05,9.090000,9.250000,9.080000,9.280000,9.280000,15000
2018-06-06,9.270000,9.320000,9.230000,9.270000,9.270000,25804
2018-06-07,9.240000,9.250000,9.210000,9.210000,9.210000,27502
2018-06-08,9.190000,9.270000,9.190000,9.290000,9.290000,5192
2018-06-11,9.330000,9.330000,9.330000,9.290000,9.290000,33
2018-06-12,9.330000,9.330000,9.330000,9.290000,9.290000,72
2018-06-13,9.300000,9.300000,9.300000,9.340000,9.340000,1222
2018-06-14,9.270000,9.270000,9.200000,9.260000,9.260000,500
2018-06-15,9.080000,9.080000,8.910000,8.960000,8.960000,12896
2018-06-18,8.920000,8.960000,8.920000,8.920000,8.920000,1600
2018-06-19,8.820000,8.820000,8.710000,8.730000,8.730000,52967
2018-06-20,8.720000,8.720000,8.720000,8.680000,8.680000,100
2018-06-21,8.670000,8.670000,8.640000,8.520000,8.520000,618
2018-06-22,8.520000,8.520000,8.500000,8.500000,8.500000,545
2018-06-25,8.320000,8.370000,8.310000,8.280000,8.280000,1372
2018-06-26,8.290000,8.290000,8.250000,8.270000,8.270000,1168
2018-06-27,8.280000,8.280000,8.270000,8.370000,8.370000,4131
2018-06-28,8.340000,8.440000,8.340000,8.430000,8.430000,2037
2018-06-29,8.430000,8.430000,8.430000,8.320000,8.320000,204
2018-07-02,8.280000,8.330000,8.220000,8.220000,8.220000,6907
2018-07-03,8.260000,8.270000,8.110000,8.110000,8.110000,1956
2018-07-04,8.030000,8.030000,7.980000,7.850000,7.850000,16351
2018-07-05,7.840000,7.930000,7.840000,7.880000,7.880000,3650
2018-07-06,7.890000,8.010000,7.890000,7.960000,7.960000,872
2018-07-09,7.950000,7.960000,7.950000,7.870000,7.870000,556
2018-07-10,7.700000,7.700000,7.700000,7.630000,7.630000,34
2018-07-11,7.350000,7.420000,7.320000,7.440000,7.440000,882
2018-07-12,7.470000,7.470000,7.470000,7.500000,7.500000,70605
2018-07-13,7.420000,7.420000,7.420000,7.510000,7.510000,181
2018-07-16,7.350000,7.350000,7.320000,7.320000,7.320000,50675
2018-07-17,7.330000,7.330000,7.220000,7.310000,7.310000,1100
2018-07-18,7.320000,7.580000,7.320000,7.580000,7.580000,6560
2018-07-19,7.490000,7.540000,7.400000,7.440000,7.440000,1568
2018-07-20,7.490000,7.490000,7.490000,7.520000,7.520000,45
2018-07-23,7.590000,7.590000,7.590000,7.470000,7.470000,217
2018-07-24,7.627500,7.627500,7.627500,7.627500,7.627500,0
2018-07-25,7.620000,7.620000,7.560000,7.540000,7.540000,250
